11/07/2014 07:11:33 | MVCForum.Website.dll | Application_Start | START APP
11/07/2014 07:11:36 | MVCForum.Domain.dll | LogError | Unable to load assembly. Probably not an event assembly. In file named 'DotNetOpenAuth.Core.dll', loader exception was: 'System.TypeLoadException':'Inheritance security rules violated by type: 'DotNetOpenAuth.Messaging.OutgoingWebResponseActionResult'. Derived types must either match the security accessibility of the base type or be less accessible.'.
11/07/2014 07:17:31 | MVCForum.Website.dll | Application_Start | START APP
11/07/2014 07:17:34 | MVCForum.Domain.dll | LogError | Unable to load assembly. Probably not an event assembly. In file named 'DotNetOpenAuth.Core.dll', loader exception was: 'System.TypeLoadException':'Inheritance security rules violated by type: 'DotNetOpenAuth.Messaging.OutgoingWebResponseActionResult'. Derived types must either match the security accessibility of the base type or be less accessible.'.
11/07/2014 07:21:54 | MVCForum.Website.dll | Application_Start | START APP
11/07/2014 07:21:58 | MVCForum.Domain.dll | LogError | Unable to load assembly. Probably not an event assembly. In file named 'DotNetOpenAuth.Core.dll', loader exception was: 'System.TypeLoadException':'Inheritance security rules violated by type: 'DotNetOpenAuth.Messaging.OutgoingWebResponseActionResult'. Derived types must either match the security accessibility of the base type or be less accessible.'.
11/07/2014 07:22:44 | MVCForum.Website.dll | Application_Start | START APP
11/07/2014 07:22:47 | MVCForum.Domain.dll | LogError | Unable to load assembly. Probably not an event assembly. In file named 'DotNetOpenAuth.Core.dll', loader exception was: 'System.TypeLoadException':'Inheritance security rules violated by type: 'DotNetOpenAuth.Messaging.OutgoingWebResponseActionResult'. Derived types must either match the security accessibility of the base type or be less accessible.'.
11/07/2014 07:24:46 | MVCForum.Website.dll | Application_Start | START APP
11/07/2014 07:24:49 | MVCForum.Domain.dll | LogError | Unable to load assembly. Probably not an event assembly. In file named 'DotNetOpenAuth.Core.dll', loader exception was: 'System.TypeLoadException':'Inheritance security rules violated by type: 'DotNetOpenAuth.Messaging.OutgoingWebResponseActionResult'. Derived types must either match the security accessibility of the base type or be less accessible.'.
11/07/2014 07:26:21 | MVCForum.Website.dll | Application_Start | START APP
11/07/2014 07:26:24 | MVCForum.Domain.dll | LogError | Unable to load assembly. Probably not an event assembly. In file named 'DotNetOpenAuth.Core.dll', loader exception was: 'System.TypeLoadException':'Inheritance security rules violated by type: 'DotNetOpenAuth.Messaging.OutgoingWebResponseActionResult'. Derived types must either match the security accessibility of the base type or be less accessible.'.
11/07/2014 07:26:59 | MVCForum.Website.dll | Application_Start | START APP
11/07/2014 07:27:03 | MVCForum.Domain.dll | LogError | Unable to load assembly. Probably not an event assembly. In file named 'DotNetOpenAuth.Core.dll', loader exception was: 'System.TypeLoadException':'Inheritance security rules violated by type: 'DotNetOpenAuth.Messaging.OutgoingWebResponseActionResult'. Derived types must either match the security accessibility of the base type or be less accessible.'.
11/07/2014 07:27:35 | MVCForum.Website.dll | Application_Start | START APP
11/07/2014 07:27:38 | MVCForum.Domain.dll | LogError | Unable to load assembly. Probably not an event assembly. In file named 'DotNetOpenAuth.Core.dll', loader exception was: 'System.TypeLoadException':'Inheritance security rules violated by type: 'DotNetOpenAuth.Messaging.OutgoingWebResponseActionResult'. Derived types must either match the security accessibility of the base type or be less accessible.'.
11/07/2014 07:36:27 | MVCForum.Website.dll | Application_Start | START APP
11/07/2014 07:36:33 | MVCForum.Domain.dll | LogError | Unable to load assembly. Probably not an event assembly. In file named 'DotNetOpenAuth.Core.dll', loader exception was: 'System.TypeLoadException':'Inheritance security rules violated by type: 'DotNetOpenAuth.Messaging.OutgoingWebResponseActionResult'. Derived types must either match the security accessibility of the base type or be less accessible.'.
11/07/2014 07:37:28 | MVCForum.Website.dll | Application_Start | START APP
11/07/2014 07:37:31 | MVCForum.Domain.dll | LogError | Unable to load assembly. Probably not an event assembly. In file named 'DotNetOpenAuth.Core.dll', loader exception was: 'System.TypeLoadException':'Inheritance security rules violated by type: 'DotNetOpenAuth.Messaging.OutgoingWebResponseActionResult'. Derived types must either match the security accessibility of the base type or be less accessible.'.
11/07/2014 07:42:27 | MVCForum.Website.dll | Application_Start | START APP
11/07/2014 07:42:31 | MVCForum.Domain.dll | LogError | Unable to load assembly. Probably not an event assembly. In file named 'DotNetOpenAuth.Core.dll', loader exception was: 'System.TypeLoadException':'Inheritance security rules violated by type: 'DotNetOpenAuth.Messaging.OutgoingWebResponseActionResult'. Derived types must either match the security accessibility of the base type or be less accessible.'.
